"","HR2010.Quantity"
"1",146.1667
"2",0
"3",0
"4",0
"5",288
"6",0
"7",99
"8",0
"9",60
"10",9
"11",15
"12",3
"13",0
"14",69
"15",54
"16",66
"17",105
"18",79.75
"19",0
"20",57
"21",0
"22",0
"23",309
"24",0
"25",0
"26",276
"27",0
"28",0
"29",36
"30",0
"31",0
"32",0
"33",39
"34",75
"35",12
"36",0
"37",180
"38",273
"39",198
"40",24
"41",0
"42",84
"43",0
"44",9
"45",219
"46",77
"47",0
"48",0
"49",78
"50",209.6667
"51",90
"52",72
"53",9
"54",0
"55",0
"56",42
"57",99
"58",15
"59",18
"60",141
"61",48
"62",27
"63",0
"64",39
"65",33
"66",0
"67",0
"68",9
"69",78
"70",0
"71",0
"72",75
"73",45
"74",159
"75",18
"76",60
"77",9
"78",249
"79",231
"80",297.5834
"81",72
"82",20
"83",0
"84",0
"85",0
"86",0
"87",0
"88",48
"89",34
"90",0
"91",84
"92",0
"93",0
"94",130
"95",0
"96",3
"97",0
"98",0
"99",0
"100",0
"101",9
"102",3
"103",54
"104",15
"105",34
"106",0
"107",0
"108",105
"109",162
"110",69
"111",267
"112",39
"113",90
"114",177
"115",0
"116",33
"117",0
"118",0
"119",30
"120",3
"121",0
"122",0
"123",0
"124",3
"125",0
"126",0
"127",0
"128",0
"129",93
"130",0
"131",0
"132",0
"133",612
"134",108
"135",0
"136",18
"137",288
"138",65
"139",0
"140",0
"141",0
"142",0
"143",243
"144",0
"145",24
"146",0
"147",0
"148",60
"149",57
"150",60
"151",0
"152",75
"153",303
"154",246
"155",54
"156",66
"157",0
"158",42
"159",18
"160",14
"161",78
"162",57
"163",174
"164",165
"165",69
"166",204
"167",87
"168",57
"169",99
"170",12
"171",3
"172",294
"173",57
"174",0
"175",0
"176",63
"177",273
"178",39
"179",0
"180",0
"181",0
"182",0
"183",36
"184",0
"185",3
"186",0
"187",0
"188",298
"189",126
"190",186
"191",75
"192",3
"193",6
"194",0
"195",0
"196",0
"197",0
"198",138
"199",12
"200",195
"201",1.6667
"202",39.5
"203",92
"204",261
"205",75
"206",21
"207",108
"208",54
"209",0
"210",0
"211",36
"212",0
"213",0
"214",18
"215",0
"216",0
"217",0
"218",24
"219",42
"220",30
"221",0
"222",0
"223",0
"224",0
"225",19
"226",24
"227",66
"228",0
"229",48
"230",243
"231",36
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",60
"240",51
"241",240
"242",0
"243",0
"244",42
"245",9
"246",50
"247",66
"248",126
"249",0
"250",0
"251",0
"252",0
"253",90
"254",45
"255",72
"256",9
"257",80
"258",9
"259",285
"260",93
"261",36
"262",17
"263",0
"264",9
"265",32
"266",9
"267",120
"268",81
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",30
"276",54
"277",42
"278",39
"279",0
"280",0
"281",150
"282",27
"283",18
"284",3
"285",0
"286",0
"287",30
"288",27
"289",0
"290",21
"291",0
"292",0
"293",0
"294",0
"295",0
