"","Date","Quantity","Temp","Rainfall"
"2",2010-04-07,0,28.3,"Light Rain"
"3",2010-04-08,0,28.4,"Light Rain"
"5",2010-04-10,0,28.8,"Light Rain"
"7",2010-04-12,0,30,"Light Rain"
"8",2010-04-13,0,30.1,"Light Rain"
"10",2010-04-15,0,29.4,"Light Rain"
"12",2010-04-17,0,28,"Light Rain"
"20",2010-04-25,0,28.8,"Light Rain"
"21",2010-04-26,0,27.7,"Light Rain"
"22",2010-04-27,0,28.7,"Light Rain"
"33",2010-05-08,18,28.4,"Light Rain"
"34",2010-05-09,0,27.8,"Light Rain"
"35",2010-05-10,465,29.1,"Light Rain"
"37",2010-05-12,171,29.8,"Light Rain"
"47",2010-05-22,120,28.1,"Light Rain"
"48",2010-05-23,0,27.9,"Light Rain"
"49",2010-05-24,111,28.5,"Light Rain"
"52",2010-05-27,0,29.2,"Light Rain"
"54",2010-05-29,42,29.1,"Light Rain"
"55",2010-05-30,0,28.3,"Light Rain"
"56",2010-05-31,117,29.2,"Light Rain"
"60",2010-06-04,36,29.6,"Light Rain"
"62",2010-06-06,0,28.2,"Light Rain"
"63",2010-06-07,135,27.9,"Light Rain"
"64",2010-06-08,159,28.7,"Light Rain"
"67",2010-06-11,9,26.9,"Light Rain"
"70",2010-06-14,75,27.4,"Light Rain"
"74",2010-06-18,3,27.6,"Light Rain"
"75",2010-06-19,0,27.9,"Light Rain"
"79",2010-06-23,33,27.9,"Light Rain"
"80",2010-06-24,336,28.4,"Light Rain"
"85",2010-06-29,33,28.3,"Light Rain"
"86",2010-06-30,12,28.6,"Light Rain"
"87",2010-07-01,9,26.4,"Light Rain"
"88",2010-07-02,63,28.1,"Light Rain"
"89",2010-07-03,51,27.5,"Light Rain"
"91",2010-07-05,99,27.4,"Light Rain"
"92",2010-07-06,39,28.1,"Light Rain"
"96",2010-07-10,24,26.9,"Light Rain"
"97",2010-07-11,15,27.7,"Light Rain"
"98",2010-07-13,36.5,26.8,"Light Rain"
"99",2010-07-14,12,27.4,"Light Rain"
"100",2010-07-15,0,28.1,"Light Rain"
"101",2010-07-16,12,27.5,"Light Rain"
"102",2010-07-17,15,27.6,"Light Rain"
"104",2010-07-19,9,27.3,"Light Rain"
"113",2010-07-28,129,27.9,"Light Rain"
"137",2010-08-21,30,26.2,"Light Rain"
"146",2010-08-30,148.1667,26.7,"Light Rain"
"150",2010-09-03,21,27.5,"Light Rain"
"157",2010-09-10,336,27.4,"Light Rain"
"160",2010-09-13,60,28.2,"Light Rain"
"163",2010-09-16,192,28.7,"Light Rain"
"166",2010-09-19,0,28.1,"Light Rain"
"167",2010-09-20,3,27.8,"Light Rain"
"170",2010-09-23,30,26.3,"Light Rain"
"173",2010-09-26,0,27.1,"Light Rain"
"175",2010-09-28,0,25,"Light Rain"
"176",2010-09-29,0,25.1,"Light Rain"
"177",2010-09-30,0,26.3,"Light Rain"
"178",2010-10-01,0,26.8,"Light Rain"
"182",2010-10-05,0,28.5,"Light Rain"
"184",2010-10-07,0,27.9,"Light Rain"
"185",2010-10-08,0,27.5,"Light Rain"
"186",2010-10-09,0,27.7,"Light Rain"
"194",2010-10-17,0,27.7,"Light Rain"
"195",2010-10-18,0,28.3,"Light Rain"
"202",2010-10-25,0,27.3,"Light Rain"
"208",2010-10-31,0,27.3,"Light Rain"
"209",2010-11-01,84,28.1,"Light Rain"
"213",2010-11-05,0,26.2,"Light Rain"
"214",2010-11-06,0,27.5,"Light Rain"
"215",2010-11-07,0,28,"Light Rain"
"216",2010-11-08,0,28.4,"Light Rain"
"218",2010-11-10,0,26.9,"Light Rain"
"220",2010-11-12,21,27.2,"Light Rain"
"222",2010-11-14,0,27.3,"Light Rain"
"225",2010-11-17,132,25.6,"Light Rain"
"226",2010-11-18,96,26.7,"Light Rain"
"230",2010-11-22,393,25.8,"Light Rain"
"234",2010-11-26,209.3333,24.8,"Light Rain"
"237",2010-11-29,78,26.2,"Light Rain"
"239",2010-12-01,39,25.1,"Light Rain"
"240",2010-12-02,0,25.6,"Light Rain"
"241",2010-12-03,102,25,"Light Rain"
"242",2010-12-04,13.6667,24.7,"Light Rain"
"244",2010-12-06,99,25.9,"Light Rain"
"248",2010-12-10,33,26,"Light Rain"
"256",2010-12-18,0,27.6,"Light Rain"
"259",2010-12-21,72,26.4,"Light Rain"
"260",2010-12-22,210,24.8,"Light Rain"
"261",2010-12-23,147,25.4,"Light Rain"
"262",2010-12-24,39,24.7,"Light Rain"
"263",2010-12-25,0,25.7,"Light Rain"
"265",2010-12-27,3,25.9,"Light Rain"
"272",2011-01-03,60,27.2,"Light Rain"
"278",2011-01-09,0,22.9,"Light Rain"
"279",2011-01-10,0,25.1,"Light Rain"
"280",2011-01-11,0,25.3,"Light Rain"
"284",2011-01-15,0,25.7,"Light Rain"
"298",2011-01-29,0,27.5,"Light Rain"
"300",2011-01-31,30,25.2,"Light Rain"
"302",2011-02-02,0,23.5,"Light Rain"
"303",2011-02-03,426,25.2,"Light Rain"
"304",2011-02-04,0,24.9,"Light Rain"
"305",2011-02-05,133,26,"Light Rain"
"307",2011-02-07,402,25.3,"Light Rain"
"308",2011-02-08,69,26.7,"Light Rain"
"321",2011-02-21,60,26.8,"Light Rain"
"323",2011-02-23,0,27.6,"Light Rain"
"326",2011-02-26,66,27.2,"Light Rain"
"332",2011-03-04,111,25.6,"Light Rain"
"333",2011-03-06,0,27.4,"Light Rain"
"352",2011-03-25,18,28.7,"Light Rain"
"353",2011-03-26,141,27.7,"Light Rain"
"354",2011-03-27,6,27.9,"Light Rain"
"366",2011-04-08,69,28.2,"Light Rain"
"368",2011-04-10,0,28.4,"Light Rain"
"372",2011-04-14,0,27.3,"Light Rain"
"377",2011-04-19,3,27.1,"Light Rain"
"385",2011-04-27,15,26.7,"Light Rain"
"387",2011-04-29,59,29.7,"Light Rain"
"389",2011-05-01,0,29,"Light Rain"
"392",2011-05-04,50,29.5,"Light Rain"
"394",2011-05-06,6.1667,29.6,"Light Rain"
"397",2011-05-09,102,28.9,"Light Rain"
"398",2011-05-10,147,29.2,"Light Rain"
"400",2011-05-12,99,28.8,"Light Rain"
"403",2011-05-15,0,28.8,"Light Rain"
"406",2011-05-18,0,28.9,"Light Rain"
"411",2011-05-23,108,29.4,"Light Rain"
"414",2011-05-26,93,28.8,"Light Rain"
"415",2011-05-27,117,28.7,"Light Rain"
"416",2011-05-28,0,28.4,"Light Rain"
"417",2011-05-29,0,28.6,"Light Rain"
"418",2011-05-30,657,28.1,"Light Rain"
"419",2011-05-31,63,28.5,"Light Rain"
"421",2011-06-02,54,28.6,"Light Rain"
"424",2011-06-05,0,28.9,"Light Rain"
"425",2011-06-06,9,27.2,"Light Rain"
"429",2011-06-15,0,27.7,"Light Rain"
"430",2011-06-16,30,27.9,"Light Rain"
"431",2011-06-17,3,28.9,"Light Rain"
"432",2011-06-18,0,29.2,"Light Rain"
"450",2011-07-06,58,28,"Light Rain"
"457",2011-07-13,4.0833,27.8,"Light Rain"
"462",2011-07-18,0,26.3,"Light Rain"
"463",2011-07-19,0,27.8,"Light Rain"
"465",2011-07-21,0,27.5,"Light Rain"
"466",2011-07-22,0,27.9,"Light Rain"
"467",2011-07-23,0,27.1,"Light Rain"
"474",2011-07-30,111,27.2,"Light Rain"
"478",2011-08-03,264,27.3,"Light Rain"
"479",2011-08-04,57,27.4,"Light Rain"
"480",2011-08-05,69,27.3,"Light Rain"
"481",2011-08-06,117,26.7,"Light Rain"
"482",2011-08-07,0,28.1,"Light Rain"
"486",2011-08-11,3,27.9,"Light Rain"
"498",2011-08-23,111,28.4,"Light Rain"
"505",2011-08-30,16,28,"Light Rain"
"507",2011-09-01,6,27.7,"Light Rain"
"509",2011-09-03,54,27,"Light Rain"
"510",2011-09-04,0,28.2,"Light Rain"
"511",2011-09-05,165,28.4,"Light Rain"
"513",2011-09-07,180,28.1,"Light Rain"
"515",2011-09-09,24,27.9,"Light Rain"
"516",2011-09-10,39,27.2,"Light Rain"
"518",2011-09-12,21,27.5,"Light Rain"
"519",2011-09-13,207,27.7,"Light Rain"
"520",2011-09-14,162,27.8,"Light Rain"
"521",2011-09-15,111,27.7,"Light Rain"
"522",2011-09-16,186,28.1,"Light Rain"
"523",2011-09-17,0,28.4,"Light Rain"
"527",2011-09-21,0,28,"Light Rain"
"528",2011-09-22,153,28.4,"Light Rain"
"529",2011-09-23,0,28.6,"Light Rain"
"539",2011-10-03,0,28.8,"Light Rain"
"545",2011-10-09,0,28.9,"Light Rain"
"548",2011-10-12,27,27.8,"Light Rain"
"549",2011-10-13,429,28.6,"Light Rain"
"550",2011-10-14,366,27.8,"Light Rain"
"551",2011-10-15,129,28.3,"Light Rain"
"554",2011-10-18,24.3334,28.3,"Light Rain"
"555",2011-10-19,291,27.7,"Light Rain"
"556",2011-10-20,120,26.9,"Light Rain"
"557",2011-10-21,57,27.3,"Light Rain"
"562",2011-10-26,12,26.9,"Light Rain"
"564",2011-10-28,6,26.7,"Light Rain"
"565",2011-10-29,75,26.3,"Light Rain"
"566",2011-10-30,0,26.1,"Light Rain"
"567",2011-10-31,0,26.7,"Light Rain"
"569",2011-11-02,0,26.1,"Light Rain"
"574",2011-11-07,12,26.6,"Light Rain"
"575",2011-11-08,36,27.9,"Light Rain"
"581",2011-11-14,36,27.8,"Light Rain"
"586",2011-11-19,108,27.6,"Light Rain"
"587",2011-11-20,0,27.3,"Light Rain"
"588",2011-11-21,159,26.3,"Light Rain"
"590",2011-11-23,0,27.1,"Light Rain"
"592",2011-11-25,0,25.1,"Light Rain"
"594",2011-11-27,0,26.2,"Light Rain"
"595",2011-11-28,0,26.5,"Light Rain"
"599",2011-12-02,0,26.8,"Light Rain"
"600",2011-12-03,0,27.1,"Light Rain"
"609",2011-12-12,0,25.9,"Light Rain"
"611",2011-12-14,0,26.4,"Light Rain"
"616",2011-12-19,0,26.4,"Light Rain"
"617",2011-12-20,0,25.6,"Light Rain"
"618",2011-12-21,0,26.4,"Light Rain"
"619",2011-12-22,0,26.1,"Light Rain"
"634",2012-01-06,78,26.2,"Light Rain"
"635",2012-01-07,78,26.4,"Light Rain"
"661",2012-02-02,273,28,"Light Rain"
"664",2012-02-05,0,26.5,"Light Rain"
"665",2012-02-06,0,26.8,"Light Rain"
"667",2012-02-08,96,27.6,"Light Rain"
"669",2012-02-10,93,27.5,"Light Rain"
"675",2012-02-16,0,26.9,"Light Rain"
"688",2012-02-29,0,27.3,"Light Rain"
"699",2012-03-11,0,28.2,"Light Rain"
"705",2012-03-17,12,27,"Light Rain"
"715",2012-03-27,216,28.5,"Light Rain"
"717",2012-03-29,81,27.3,"Light Rain"
"721",2012-04-02,150,27.9,"Light Rain"
"730",2012-04-11,0,27.9,"Light Rain"
"737",2012-04-18,0,27,"Light Rain"
"742",2012-04-23,65,25.8,"Light Rain"
