@relation c
@attribute Date date yyyy-MM-dd
@attribute Quantity numeric
@attribute Temp numeric
@attribute Rainfall {'Heavy Rain','Light Rain','No Rain'}
@data
'2010-04-06',146.1667,27.9,'Heavy Rain'
'2010-04-07',0,28.3,'Light Rain'
'2010-04-08',0,28.4,'Light Rain'
'2010-04-09',0,28.3,'No Rain'
'2010-04-10',0,28.8,'Light Rain'
'2010-04-11',0,29.3,'No Rain'
'2010-04-12',0,30,'Light Rain'
'2010-04-13',0,30.1,'Light Rain'
'2010-04-14',0,26.1,'Heavy Rain'
'2010-04-15',0,29.4,'Light Rain'
'2010-04-16',0,28.7,'No Rain'
'2010-04-17',0,28,'Light Rain'
'2010-04-18',0,28.6,'No Rain'
'2010-04-19',0,28.9,'Heavy Rain'
'2010-04-20',0,30.3,'No Rain'
'2010-04-21',0,29.1,'Heavy Rain'
'2010-04-22',288,27.8,'Heavy Rain'
'2010-04-23',6,27.6,'No Rain'
'2010-04-24',0,26.1,'Heavy Rain'
'2010-04-25',0,28.8,'Light Rain'
'2010-04-26',0,27.7,'Light Rain'
'2010-04-27',0,28.7,'Light Rain'
'2010-04-28',0,28.6,'No Rain'
'2010-04-29',126,27.8,'No Rain'
'2010-04-30',99,28.4,'Heavy Rain'
'2010-05-01',0,28.4,'Heavy Rain'
'2010-05-02',0,29.3,'No Rain'
'2010-05-03',249,29.8,'No Rain'
'2010-05-04',81,30.1,'No Rain'
'2010-05-05',60,29.2,'Heavy Rain'
'2010-05-06',381,30.1,'No Rain'
'2010-05-07',132,29.3,'No Rain'
'2010-05-08',18,28.4,'Light Rain'
'2010-05-09',0,27.8,'Light Rain'
'2010-05-10',465,29.1,'Light Rain'
'2010-05-11',99,30.1,'No Rain'
'2010-05-12',171,29.8,'Light Rain'
'2010-05-13',9,29.1,'Heavy Rain'
'2010-05-14',15,26.1,'Heavy Rain'
'2010-05-15',3,28.8,'Heavy Rain'
'2010-05-16',0,28.6,'No Rain'
'2010-05-17',0,26.2,'Heavy Rain'
'2010-05-18',69,26.6,'Heavy Rain'
