Date,Quantity,Temp,Rainfall
06/04/2010,146.1667,27.9,Heavy Rain
07/04/2010,0,28.3,Light Rain
08/04/2010,0,28.4,Light Rain
09/04/2010,0,28.3,No Rain
10/04/2010,0,28.8,Light Rain
11/04/2010,0,29.3,No Rain
12/04/2010,0,30,Light Rain
13/04/2010,0,30.1,Light Rain
14/04/2010,0,26.1,Heavy Rain
15/04/2010,0,29.4,Light Rain
16/04/2010,0,28.7,No Rain
17/04/2010,0,28,Light Rain
18/04/2010,0,28.6,No Rain
19/04/2010,0,28.9,Heavy Rain
20/04/2010,0,30.3,No Rain
21/04/2010,0,29.1,Heavy Rain
22/04/2010,288,27.8,Heavy Rain
23/04/2010,6,27.6,No Rain
24/04/2010,0,26.1,Heavy Rain
25/04/2010,0,28.8,Light Rain
26/04/2010,0,27.7,Light Rain
27/04/2010,0,28.7,Light Rain
28/04/2010,0,28.6,No Rain
29/04/2010,126,27.8,No Rain
30/04/2010,99,28.4,Heavy Rain
01/05/2010,0,28.4,Heavy Rain
02/05/2010,0,29.3,No Rain
03/05/2010,249,29.8,No Rain
04/05/2010,81,30.1,No Rain
05/05/2010,60,29.2,Heavy Rain
06/05/2010,381,30.1,No Rain
07/05/2010,132,29.3,No Rain
08/05/2010,18,28.4,Light Rain
09/05/2010,0,27.8,Light Rain
10/05/2010,465,29.1,Light Rain
11/05/2010,99,30.1,No Rain
12/05/2010,171,29.8,Light Rain
13/05/2010,9,29.1,Heavy Rain
14/05/2010,15,26.1,Heavy Rain
15/05/2010,3,28.8,Heavy Rain
16/05/2010,0,28.6,No Rain
17/05/2010,0,26.2,Heavy Rain
18/05/2010,69,26.6,Heavy Rain
19/05/2010,54,28.4,Heavy Rain
20/05/2010,66,26.4,Heavy Rain
21/05/2010,105,26,Heavy Rain
22/05/2010,120,28.1,Light Rain
23/05/2010,0,27.9,Light Rain
24/05/2010,111,28.5,Light Rain
25/05/2010,79.75,29.1,Heavy Rain
26/05/2010,0,28.8,Heavy Rain
27/05/2010,0,29.2,Light Rain
28/05/2010,0,28.9,No Rain
29/05/2010,42,29.1,Light Rain
30/05/2010,0,28.3,Light Rain
31/05/2010,117,29.2,Light Rain
01/06/2010,131,29.4,No Rain
02/06/2010,93,29.7,No Rain
03/06/2010,66,29.1,No Rain
04/06/2010,36,29.6,Light Rain
