"","Date","Quantity"
"1",2010-01-06,131
"2",2010-01-07,9
"492",2010-01-08,0
"3",2010-01-09,48
"493",2010-01-10,0
"4",2010-01-11,84
"5",2010-01-12,39
"494",2010-01-13,0
"495",2010-01-14,0
"496",2010-01-15,0
"497",2010-01-16,0
"498",2010-01-17,0
"499",2010-01-18,0
"500",2010-01-19,0
"501",2010-01-20,0
"502",2010-01-21,0
"503",2010-01-22,0
"504",2010-01-23,0
"505",2010-01-24,0
"506",2010-01-25,0
"507",2010-01-26,0
"508",2010-01-27,0
"509",2010-01-28,0
"510",2010-01-29,0
"511",2010-01-30,0
"512",2010-01-31,0
"513",2010-02-01,0
"514",2010-02-02,0
"515",2010-02-03,0
"516",2010-02-04,0
"517",2010-02-05,0
"6",2010-02-06,93
"7",2010-02-07,63
"8",2010-02-08,12
"9",2010-02-09,90
"518",2010-02-10,0
"10",2010-02-11,357
"519",2010-02-12,0
"520",2010-02-13,0
"521",2010-02-14,0
"522",2010-02-15,0
"523",2010-02-16,0
"524",2010-02-17,0
"525",2010-02-18,0
"526",2010-02-19,0
"527",2010-02-20,0
"528",2010-02-21,0
"529",2010-02-22,0
"530",2010-02-23,0
"531",2010-02-24,0
"532",2010-02-25,0
"533",2010-02-26,0
"534",2010-02-27,0
"535",2010-02-28,0
"536",2010-03-01,0
"537",2010-03-02,0
"538",2010-03-03,0
"539",2010-03-04,0
"11",2010-03-05,249
"12",2010-03-06,66
"13",2010-03-07,51
"14",2010-03-08,6
"15",2010-03-09,21
"540",2010-03-10,0
"16",2010-03-11,324
"17",2010-03-12,102
"541",2010-03-13,0
"542",2010-03-14,0
"543",2010-03-15,0
"544",2010-03-16,0
"545",2010-03-17,0
"546",2010-03-18,0
"547",2010-03-19,0
"548",2010-03-20,0
"549",2010-03-21,0
"550",2010-03-22,0
"551",2010-03-23,0
"552",2010-03-24,0
"553",2010-03-25,0
"554",2010-03-26,0
"555",2010-03-27,0
"556",2010-03-28,0
"557",2010-03-29,0
"558",2010-03-30,0
"559",2010-03-31,0
"560",2010-04-01,0
"561",2010-04-02,0
"562",2010-04-03,0
"563",2010-04-04,0
"18",2010-04-05,81
"19",2010-04-06,36
"564",2010-04-07,0
"20",2010-04-08,36
"21",2010-04-09,132
"565",2010-04-10,0
"22",2010-04-11,45
"23",2010-04-12,13.6667
"566",2010-04-13,0
"567",2010-04-14,0
"568",2010-04-15,0
"569",2010-04-16,0
"570",2010-04-17,0
"571",2010-04-18,0
"572",2010-04-19,0
"573",2010-04-20,0
"574",2010-04-21,0
"575",2010-04-22,0
"576",2010-04-23,0
"577",2010-04-24,0
"578",2010-04-25,0
"579",2010-04-26,0
"580",2010-04-27,0
"581",2010-04-28,0
"582",2010-04-29,0
"583",2010-04-30,0
"584",2010-05-01,0
"585",2010-05-02,0
"586",2010-05-03,0
"587",2010-05-04,0
"24",2010-05-05,60
"25",2010-05-06,63
"26",2010-05-07,99
"27",2010-05-08,72
"588",2010-05-09,0
"589",2010-05-10,0
"590",2010-05-11,0
"591",2010-05-12,0
"592",2010-05-13,0
"593",2010-05-14,0
"594",2010-05-15,0
"595",2010-05-16,0
"596",2010-05-17,0
"597",2010-05-18,0
"598",2010-05-19,0
"599",2010-05-20,0
"600",2010-05-21,0
"601",2010-05-22,0
"602",2010-05-23,0
"603",2010-05-24,0
"604",2010-05-25,0
"605",2010-05-26,0
"606",2010-05-27,0
"607",2010-05-28,0
"608",2010-05-29,0
"609",2010-05-30,0
"610",2010-05-31,0
"611",2010-06-01,0
"612",2010-06-02,0
"613",2010-06-03,0
"28",2010-06-04,146.1667
"29",2010-06-05,381
"614",2010-06-06,0
"30",2010-06-07,39
"615",2010-06-08,0
"31",2010-06-09,60
"616",2010-06-10,0
"617",2010-06-11,0
"32",2010-06-12,99
"618",2010-06-13,0
"619",2010-06-14,0
"620",2010-06-15,0
"621",2010-06-16,0
"622",2010-06-17,0
"623",2010-06-18,0
"624",2010-06-19,0
"625",2010-06-20,0
"626",2010-06-21,0
"627",2010-06-22,0
"628",2010-06-23,0
"629",2010-06-24,0
"630",2010-06-25,0
"631",2010-06-26,0
"632",2010-06-27,0
"633",2010-06-28,0
"634",2010-06-29,0
"635",2010-06-30,0
"636",2010-07-01,0
"637",2010-07-02,0
"638",2010-07-03,0
"639",2010-07-04,0
"33",2010-07-05,132
"34",2010-07-06,135
"35",2010-07-07,57
"36",2010-07-08,27
"37",2010-07-09,30
"640",2010-07-10,0
"641",2010-07-11,0
"38",2010-07-12,9
"642",2010-07-13,0
"643",2010-07-14,0
"644",2010-07-15,0
"645",2010-07-16,0
